KO-1	KO-2	KO-3	N-1	N-2	N-3	OT1-2	OT1-3	OT1-4	SV40-3	SV40-4	SV40-5	WT-2	WT-3	WT-5
RP23-271O17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-122M2.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP23-122M2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-122M2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-333I7.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-177A20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-391E12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RP23-285G23.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-285G23.3	5	14	5	16	2	19	9	21	17	16	9	13	7	8	14
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-285G23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-37D15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-37D15.2	0	0	1	0	0	0	1	2	0	0	0	1	0	0	1
RP23-34E15.1	56	48	89	102	63	82	55	61	90	67	95	81	47	39	50
RP23-34E15.2	0	0	0	2	4	0	0	0	0	0	1	0	0	0	1
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP23-34E15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
RP23-34E15.4	35	53	52	50	56	52	41	26	37	33	43	30	50	41	42
Mrpl15	8338	5212	10624	5675	6293	4027	4681	3469	5121	2941	5746	3734	5551	6528	3422
RP23-34E15.5	0	0	1	1	0	0	0	0	4	0	0	0	1	0	0
Lypla1	656	1392	1809	3302	3134	4304	1661	3102	3209	997	2853	2142	1097	2050	1359
RP24-426M1.3	0	1	0	1	0	1	0	0	0	0	0	3	0	0	1
Tcea1	162	511	366	1462	901	2194	380	901	1555	243	1378	743	321	384	445
