TOX-A	TOX-B	mGFP-A	mGFP-B
RP23-271O17.1	0	0	0	0
Gm26206	0	0	0	0
Xkr4	0	0	0	1
RP23-317L18.1	0	0	0	0
RP23-317L18.4	0	0	0	0
RP23-317L18.3	0	0	0	0
RP23-115I1.6	0	0	0	0
RP23-115I1.1	0	0	0	0
RP23-115I1.5	0	0	0	0
RP23-115I1.2	0	0	0	0
RP23-115I1.3	0	0	0	0
RP23-122M2.3	0	0	0	0
RP23-122M2.2	0	0	0	0
RP23-122M2.1	0	0	0	0
Gm27396	0	0	0	0
RP23-333I7.1	0	0	0	0
Rp1	0	0	0	0
RP23-177A20.1	0	0	0	0
RP23-391E12.2	0	0	0	0
Sox17	0	0	0	0
RP23-285G23.2	0	0	0	0
RP23-285G23.3	4	5	5	1
Gm22307	0	0	0	0
RP23-285G23.4	0	0	0	0
RP23-37D15.1	0	0	0	0
RP23-37D15.2	1	0	0	0
RP23-34E15.1	22	21	24	23
RP23-34E15.2	0	1	0	3
Gm25493	0	0	0	0
RP23-34E15.3	0	0	0	0
RP23-34E15.4	33	35	27	31
Mrpl15	8675	8208	7812	8486
RP23-34E15.5	0	0	3	12
Lypla1	6751	5809	4181	6499
RP24-426M1.3	9	7	4	1
Tcea1	4327	4535	3535	5247
RP24-426M1.2	13	7	11	13
RP24-426M1.4	0	3	2	1
Rgs20	0	0	0	0
RP24-141F9.1	0	0	0	0
RP24-141F9.2	0	0	0	0
AC102242.1	0	0	0	0
RP24-363O2.1	0	0	0	0
Atp6v1h	8961	7908	7096	8417
RP23-267J18.11	0	0	0	0
RP23-267J18.10	0	0	0	0
RP23-335P21.1	0	0	0	0
Oprk1	0	0	0	0
RP23-238E7.2	0	0	0	0
Gm22463	0	0	0	0
RP23-354J2.1	0	0	0	0
Npbwr1	0	0	0	0
RP23-74E8.1	0	0	0	0
Rb1cc1	1625	1569	535	1137
AC139064.2	60	124	84	182
Fam150a	0	0	0	0
RP23-76C20.3	0	0	2	0
RP23-76C20.2	0	0	0	0
RP23-76C20.4	1	0	0	0
St18	20	0	0	0
RP23-299N6.3	0	0	0	0
RP23-299N6.1	1	0	0	1
RP23-5K7.4	5	2	9	3
RP23-76C20.5	0	0	0	0
RP23-5K7.3	0	0	0	0
RP23-5K7.2	0	0	0	0
RP23-5K7.1	0	0	0	0
Pcmtd1	1023	1376	849	1219
RP24-149G24.1	1	1	1	0
WI1-817D1.2	2	0	0	0
RP23-278C19.3	8	8	10	4
Nras-ps2	0	0	0	0
Gm23274	0	0	0	0
RP23-278C19.1	0	0	0	0
RP24-263A16.1	27	10	42	33
RP24-263A16.2	0	0	0	0
RP24-181G14.2	0	1	0	15
RP24-181G14.1	0	0	0	0
RP23-404K2.2	0	0	0	0
Rps2-ps2	1	1	0	1
RP23-408B17.1	0	0	0	0
Sntg1	0	0	0	0
RP23-241G23.1	0	0	0	0
AC102786.2	0	0	0	0
RP23-311L17.1	0	0	0	0
Gm23358	0	0	0	0
RP24-442E5.1	0	0	0	0
AC163389.1	17	16	14	10
RP23-397E23.1	2	5	0	6
Gm24276	2	1	5	2
AC118192.1	0	0	0	0
RP23-200C17.1	0	0	0	0
AC122738.1	1	1	0	2
RP23-331M15.1	0	0	0	0
RP23-331M15.2	0	0	0	0
RP23-411P10.1	0	0	0	0
RP23-411P10.5	1	0	1	0
RP23-411P10.3	0	0	0	0
RP23-411P10.2	0	0	0	1
Gm24765	0	0	0	0
RP24-361E12.1	0	0	0	0
Rrs1	4291	4798	2394	3305
Adhfe1	4	8	17	19
AC103620.4	0	2	0	6
AC103620.1	0	1	0	1
AC103620.3	0	0	0	0
RP24-219C22.3	0	0	0	0
Mybl1	38	22	51	41
Vcpip1	2589	2852	1759	2828
RP23-228O9.1	1	9	5	8
Sgk3	6235	4803	4814	5858
RP23-228O9.3	3	2	3	0
Gm22607	0	0	0	0
Mcmdc2	1	3	4	7
Snhg6	516	509	623	529
Snord87	3	1	1	2
Tcf24	3	1	0	0
RP23-228G18.3	1	0	1	0
Ppp1r42	0	0	0	0
AC102570.3	0	0	0	1
Gm24674	0	0	0	0
Cops5	7112	6621	5609	5927
Cspp1	949	691	550	757
RP23-228G18.5	7	0	0	0
Arfgef1	1287	1338	784	1124
Gm26348	0	1	0	0
RP24-327F2.1	5	0	12	0
Cpa6	0	0	0	0
RP23-418C16.1	0	0	0	0
AC102469.1	4	0	1	0
Gm25253	0	0	0	0
AC102426.1	0	0	0	0
RP24-88A10.2	0	0	0	0
RP24-88A10.1	0	0	0	0
RP24-467J24.1	1	0	3	2
Gm22963	0	0	0	0
Prex2	0	0	1	0
Gm24173	0	0	0	0
RP24-427A3.1	0	1	4	1
RP23-366M5.2	0	0	0	0
AC103635.1	0	0	0	0
RP23-2K13.1	0	0	0	0
RP24-467J24.2	0	0	0	0
RP24-239K20.1	0	0	0	0
RP23-334J7.1	0	1	3	2
Gm22633	0	0	0	0
Mir6341	0	0	0	0
RP23-138D5.1	52	37	57	23
RP24-331K22.1	0	0	0	0
RP24-331K22.3	0	0	0	0
RP24-331K22.2	0	0	0	0
Sulf1	16	8	0	0
Slco5a1	9	1	0	0
RP24-178B14.2	0	0	0	0
RP24-178B14.3	0	0	0	0
RP24-178B14.1	0	0	0	0
Prdm14	0	0	0	0
Ncoa2	2670	2681	2111	2405
RP23-93D12.2	13	9	35	10
RP23-93D12.1	37	14	0	18
Gm27881	0	1	0	0
RP23-125I14.4	2	0	0	0
RP23-125I14.3	29	15	15	8
Gm23169	0	0	0	0
RP23-125I14.2	23	23	5	19
RP23-125I14.1	32	23	16	28
RP23-125I14.5	5	0	0	0
RP23-125I14.6	0	0	0	0
Tram1	21850	21519	15365	19664
Lactb2	1893	1866	1544	1956
RP23-70F22.2	35	16	11	34
Xkr9	0	0	0	2
Gm26273	0	0	0	0
RP23-70F22.1	47	50	55	46
RP23-74B7.1	0	0	0	0
Gm25491	0	0	0	0
RP24-335B5.1	0	0	0	0
Eya1	0	0	0	1
Gm22616	0	0	0	0
RP24-291C20.1	0	0	0	0
RP24-356G6.1	0	1	0	0
Msc	3	22	0	5
RP23-398C14.1	0	0	0	0
Smt3h2-ps4	2	3	1	0
Rpl5-ps1	15	11	21	20
Trpa1	0	0	0	0
Gm26345	0	0	0	0
RP23-143L15.1	14	20	14	12
Kcnb2	0	0	0	0
RP23-445B17.1	0	0	0	0
RP24-66C10.4	0	0	0	0
Gm25227	0	0	0	0
Gm25168	0	0	0	0
